code,name,value_range,options,candidate_map,依据
0223_1451_02,肉、禽类罐头产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0224_01,蛋品年加工量,干蛋/冰蛋等加工量,干蛋 / 冰蛋等加工量,"{""干蛋"": 100, ""冰蛋等加工量"": 25}",启发生成（需人工审核）
0224_1393_01,蛋品年加工量,近12个月主产品加工/产量,近12个月主产品加工 / 产量,"{""近12个月主产品加工"": 100, ""产量"": 25}",启发生成（需人工审核）
0224_1393_02,蛋品产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0225_01,乳品年产量,液体乳/乳粉年产量,液体乳 / 乳粉年产量,"{""液体乳"": 100, ""乳粉年产量"": 25}",启发生成（需人工审核）
0225_1441_01,液体乳年加工量,近12个月主产品加工/产量,近12个月主产品加工 / 产量,"{""近12个月主产品加工"": 100, ""产量"": 25}",启发生成（需人工审核）
0225_1441_02,液体乳产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0225_1442_01,乳粉年加工量,近12个月主产品加工/产量,近12个月主产品加工 / 产量,"{""近12个月主产品加工"": 100, ""产量"": 25}",启发生成（需人工审核）
0225_1442_02,乳粉产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0225_1449_01,其他乳制品年加工量,近12个月主产品加工/产量,近12个月主产品加工 / 产量,"{""近12个月主产品加工"": 100, ""产量"": 25}",启发生成（需人工审核）
0225_1449_02,其他乳制品产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0231_02,蔬菜年加工量,冷冻/干制/腌渍等加工量,冷冻 / 干制 / 腌渍等加工量,"{""冷冻"": 100, ""干制"": 62, ""腌渍等加工量"": 25}",启发生成（需人工审核）
0231_1371_01,蔬菜年加工量,近12个月主产品加工/产量,近12个月主产品加工 / 产量,"{""近12个月主产品加工"": 100, ""产量"": 25}",启发生成（需人工审核）
0231_1371_02,蔬菜产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0232_02,食用菌年加工量,干品/盐渍等加工量,干品 / 盐渍等加工量,"{""干品"": 100, ""盐渍等加工量"": 25}",启发生成（需人工审核）
0232_03,黑木耳加工量,黑木耳干品/精深加工量,黑木耳干品 / 精深加工量,"{""黑木耳干品"": 100, ""精深加工量"": 25}",启发生成（需人工审核）
0232_1372_01,食用菌年加工量,近12个月主产品加工/产量,近12个月主产品加工 / 产量,"{""近12个月主产品加工"": 100, ""产量"": 25}",启发生成（需人工审核）
0232_1372_02,食用菌产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0233_1373_01,水果和坚果年加工量,近12个月主产品加工/产量,近12个月主产品加工 / 产量,"{""近12个月主产品加工"": 100, ""产量"": 25}",启发生成（需人工审核）
0233_1373_02,水果和坚果产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0234_1422_01,蜜饯年加工量,近12个月主产品加工/产量,近12个月主产品加工 / 产量,"{""近12个月主产品加工"": 100, ""产量"": 25}",启发生成（需人工审核）
0234_1422_02,蜜饯产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0235_1453_01,蔬菜、水果罐头年加工量,近12个月主产品加工/产量,近12个月主产品加工 / 产量,"{""近12个月主产品加工"": 100, ""产量"": 25}",启发生成（需人工审核）
0235_1453_02,蔬菜、水果罐头产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0236_1530_01,精制茶年加工量,近12个月主产品加工/产量,近12个月主产品加工 / 产量,"{""近12个月主产品加工"": 100, ""产量"": 25}",启发生成（需人工审核）
0236_1530_02,精制茶产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0241_1361_01,水产品冷冻年加工量,近12个月主产品加工/产量,近12个月主产品加工 / 产量,"{""近12个月主产品加工"": 100, ""产量"": 25}",启发生成（需人工审核）
0241_1361_02,水产品冷冻产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0242_1362_01,鱼糜制品及水产品干腌制年加工量,近12个月主产品加工/产量,近12个月主产品加工 / 产量,"{""近12个月主产品加工"": 100, ""产量"": 25}",启发生成（需人工审核）
0242_1362_02,鱼糜制品及水产品干腌制产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0243_1363_01,鱼油提取及制品年加工量,近12个月主产品加工/产量,近12个月主产品加工 / 产量,"{""近12个月主产品加工"": 100, ""产量"": 25}",启发生成（需人工审核）
0243_1363_02,鱼油提取及制品产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0244_1452_01,水产品罐头年加工量,近12个月主产品加工/产量,近12个月主产品加工 / 产量,"{""近12个月主产品加工"": 100, ""产量"": 25}",启发生成（需人工审核）
0244_1452_02,水产品罐头产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0245_1369_01,其他水产品年加工量,近12个月主产品加工/产量,近12个月主产品加工 / 产量,"{""近12个月主产品加工"": 100, ""产量"": 25}",启发生成（需人工审核）
0245_1369_02,其他水产品产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
025_01,杂粮烘焙产品占比,玉米/杂粮烘焙占比,玉米 / 杂粮烘焙占比,"{""玉米"": 100, ""杂粮烘焙占比"": 25}",启发生成（需人工审核）
0251_02,糕点面包年产量,糕点/面包年产量,糕点 / 面包年产量,"{""糕点"": 100, ""面包年产量"": 25}",启发生成（需人工审核）
0251_1411_01,糕点、面包年加工量,近12个月主产品加工/产量,近12个月主产品加工 / 产量,"{""近12个月主产品加工"": 100, ""产量"": 25}",启发生成（需人工审核）
0251_1411_02,糕点、面包产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0252_1419_01,饼干及其他焙烤食品年加工量,近12个月主产品加工/产量,近12个月主产品加工 / 产量,"{""近12个月主产品加工"": 100, ""产量"": 25}",启发生成（需人工审核）
0252_1419_02,饼干及其他焙烤食品产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0261_02,米面制品年产量,米/面制品年产量,米 / 面制品年产量,"{""米"": 100, ""面制品年产量"": 25}",启发生成（需人工审核）
0261_1431_01,米、面制品年加工量,近12个月主产品加工/产量,近12个月主产品加工 / 产量,"{""近12个月主产品加工"": 100, ""产量"": 25}",启发生成（需人工审核）
0261_1431_02,米、面制品产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0262_1432_01,速冻食品年加工量,近12个月主产品加工/产量,近12个月主产品加工 / 产量,"{""近12个月主产品加工"": 100, ""产量"": 25}",启发生成（需人工审核）
0262_1432_02,速冻食品产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0263_1433_01,方便面年加工量,近12个月主产品加工/产量,近12个月主产品加工 / 产量,"{""近12个月主产品加工"": 100, ""产量"": 25}",启发生成（需人工审核）
0263_1433_02,方便面产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0264_1439_01,其他方便食品年加工量,近12个月主产品加工/产量,近12个月主产品加工 / 产量,"{""近12个月主产品加工"": 100, ""产量"": 25}",启发生成（需人工审核）
0264_1439_02,其他方便食品产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0264_1459_01,其他罐头食品年加工量,近12个月主产品加工/产量,近12个月主产品加工 / 产量,"{""近12个月主产品加工"": 100, ""产量"": 25}",启发生成（需人工审核）
0264_1459_02,其他罐头食品产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0271_1461_01,味精年加工量,近12个月主产品加工/产量,近12个月主产品加工 / 产量,"{""近12个月主产品加工"": 100, ""产量"": 25}",启发生成（需人工审核）
0271_1461_02,味精产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0272_1462_01,酱油、食醋及类似制品年加工量,近12个月主产品加工/产量,近12个月主产品加工 / 产量,"{""近12个月主产品加工"": 100, ""产量"": 25}",启发生成（需人工审核）
0272_1462_02,酱油、食醋及类似制品产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0273_02,添加剂年产量,食品/饲料添加剂年产量,食品 / 饲料添加剂年产量,"{""食品"": 100, ""饲料添加剂年产量"": 25}",启发生成（需人工审核）
0273_1495_01,食品及饲料添加剂年加工量,近12个月主产品加工/产量,近12个月主产品加工 / 产量,"{""近12个月主产品加工"": 100, ""产量"": 25}",启发生成（需人工审核）
0273_1495_02,食品及饲料添加剂产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0274_02,发酵制品年产量,其他调味品/发酵制品产量,其他调味品 / 发酵制品产量,"{""其他调味品"": 100, ""发酵制品产量"": 25}",启发生成（需人工审核）
0274_1469_01,其他调味品、发酵制品年加工量,近12个月主产品加工/产量,近12个月主产品加工 / 产量,"{""近12个月主产品加工"": 100, ""产量"": 25}",启发生成（需人工审核）
0274_1469_02,其他调味品、发酵制品产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0281_1610_01,烟叶复烤年加工量,近12个月主产品加工/产量,近12个月主产品加工 / 产量,"{""近12个月主产品加工"": 100, ""产量"": 25}",启发生成（需人工审核）
0281_1610_02,烟叶复烤产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0281_1620_01,卷烟年加工量,近12个月主产品加工/产量,近12个月主产品加工 / 产量,"{""近12个月主产品加工"": 100, ""产量"": 25}",启发生成（需人工审核）
0281_1620_02,卷烟产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0281_1690_01,其他烟草制品年加工量,近12个月主产品加工/产量,近12个月主产品加工 / 产量,"{""近12个月主产品加工"": 100, ""产量"": 25}",启发生成（需人工审核）
0281_1690_02,其他烟草制品产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0282_01,酒类年产量,白酒/啤酒/葡萄酒等产量,白酒 / 啤酒 / 葡萄酒等产量,"{""白酒"": 100, ""啤酒"": 62, ""葡萄酒等产量"": 25}",启发生成（需人工审核）
0282_1511_01,酒精年加工量,近12个月主产品加工/产量,近12个月主产品加工 / 产量,"{""近12个月主产品加工"": 100, ""产量"": 25}",启发生成（需人工审核）
0282_1511_02,酒精产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0282_1512_01,白酒年加工量,近12个月主产品加工/产量,近12个月主产品加工 / 产量,"{""近12个月主产品加工"": 100, ""产量"": 25}",启发生成（需人工审核）
0282_1512_02,白酒产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0282_1513_01,啤酒年加工量,近12个月主产品加工/产量,近12个月主产品加工 / 产量,"{""近12个月主产品加工"": 100, ""产量"": 25}",启发生成（需人工审核）
0282_1513_02,啤酒产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0282_1514_01,黄酒年加工量,近12个月主产品加工/产量,近12个月主产品加工 / 产量,"{""近12个月主产品加工"": 100, ""产量"": 25}",启发生成（需人工审核）
0282_1514_02,黄酒产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0282_1515_01,葡萄酒年加工量,近12个月主产品加工/产量,近12个月主产品加工 / 产量,"{""近12个月主产品加工"": 100, ""产量"": 25}",启发生成（需人工审核）
0282_1515_02,葡萄酒产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0282_1519_01,其他酒年加工量,近12个月主产品加工/产量,近12个月主产品加工 / 产量,"{""近12个月主产品加工"": 100, ""产量"": 25}",启发生成（需人工审核）
0282_1519_02,其他酒产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0283_1340_01,制糖业年加工量,近12个月主产品加工/产量,近12个月主产品加工 / 产量,"{""近12个月主产品加工"": 100, ""产量"": 25}",启发生成（需人工审核）
0283_1340_02,制糖业产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0284_1523_01,果菜汁及果菜汁饮料年加工量,近12个月主产品加工/产量,近12个月主产品加工 / 产量,"{""近12个月主产品加工"": 100, ""产量"": 25}",启发生成（需人工审核）
0284_1523_02,果菜汁及果菜汁饮料产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0284_1524_01,含乳饮料和植物蛋白饮料年加工量,近12个月主产品加工/产量,近12个月主产品加工 / 产量,"{""近12个月主产品加工"": 100, ""产量"": 25}",启发生成（需人工审核）
0284_1524_02,含乳饮料和植物蛋白饮料产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0284_1525_01,固体饮料年加工量,近12个月主产品加工/产量,近12个月主产品加工 / 产量,"{""近12个月主产品加工"": 100, ""产量"": 25}",启发生成（需人工审核）
0284_1525_02,固体饮料产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0284_1529_01,茶饮料及其他饮料年加工量,近12个月主产品加工/产量,近12个月主产品加工 / 产量,"{""近12个月主产品加工"": 100, ""产量"": 25}",启发生成（需人工审核）
0284_1529_02,茶饮料及其他饮料产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0291_2730_01,中药饮片年加工量,近12个月主产品加工/产量,近12个月主产品加工 / 产量,"{""近12个月主产品加工"": 100, ""产量"": 25}",启发生成（需人工审核）
0291_2730_02,中药饮片产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0291_2740_01,中成药年加工量,近12个月主产品加工/产量,近12个月主产品加工 / 产量,"{""近12个月主产品加工"": 100, ""产量"": 25}",启发生成（需人工审核）
0291_2740_02,中成药产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0292_1421_01,糖果、巧克力年加工量,近12个月主产品加工/产量,近12个月主产品加工 / 产量,"{""近12个月主产品加工"": 100, ""产量"": 25}",启发生成（需人工审核）
0292_1421_02,糖果、巧克力产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0293_1491_01,营养食品年加工量,近12个月主产品加工/产量,近12个月主产品加工 / 产量,"{""近12个月主产品加工"": 100, ""产量"": 25}",启发生成（需人工审核）
0293_1491_02,营养食品产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0293_1492_01,保健食品年加工量,近12个月主产品加工/产量,近12个月主产品加工 / 产量,"{""近12个月主产品加工"": 100, ""产量"": 25}",启发生成（需人工审核）
0293_1492_02,保健食品产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0294_1493_01,冷冻饮品及食用冰年加工量,近12个月主产品加工/产量,近12个月主产品加工 / 产量,"{""近12个月主产品加工"": 100, ""产量"": 25}",启发生成（需人工审核）
0294_1493_02,冷冻饮品及食用冰产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0295_1399_01,其他未列明农副食品年加工量,近12个月主产品加工/产量,近12个月主产品加工 / 产量,"{""近12个月主产品加工"": 100, ""产量"": 25}",启发生成（需人工审核）
0295_1399_02,其他未列明农副食品产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0295_1499_01,其他未列明食品年加工量,近12个月主产品加工/产量,近12个月主产品加工 / 产量,"{""近12个月主产品加工"": 100, ""产量"": 25}",启发生成（需人工审核）
0295_1499_02,其他未列明食品产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
031_03,非食用油脂产销率,年销售量/年产量,年销售量 / 年产量,"{""年销售量"": 100, ""年产量"": 25}",启发生成（需人工审核）
0310_01,油脂产销率,年销量/年产量,年销量 / 年产量,"{""年销量"": 100, ""年产量"": 25}",启发生成（需人工审核）
0310_1332_03,非食用植物油产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0310_1332_04,非食用植物油原材料本地化率,本地原料/配件采购占比,本地原料 / 配件采购占比,"{""本地原料"": 100, ""配件采购占比"": 25}",启发生成（需人工审核）
0310_1332_06,非食用植物油质量环保合规,质量/环保/生产许可齐备无违规,质量 / 环保 / 生产许可齐备无违规,"{""质量"": 100, ""环保"": 62, ""生产许可齐备无违规"": 25}",启发生成（需人工审核）
032_02,亚麻种植基地面积,自有/订单基地面积,自有 / 订单基地面积,"{""自有"": 100, ""订单基地面积"": 25}",启发生成（需人工审核）
032_03,亚麻订单覆盖率,订单采购量/产量占比,订单采购量 / 产量占比,"{""订单采购量"": 100, ""产量占比"": 25}",启发生成（需人工审核）
0320_01,0320 棉麻加工·棉/麻纱产销率,年销量/年产量,年销量 / 年产量,"{""年销量"": 100, ""年产量"": 25}",启发生成（需人工审核）
0320_02,棉/麻纱年产量,棉纺、麻纺年产量,棉纺 / 麻纺年产量,"{""棉纺"": 100, ""麻纺年产量"": 25}",启发生成（需人工审核）
0320_1711_03,棉纺纱产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0320_1711_04,棉纺纱原材料本地化率,本地原料/配件采购占比,本地原料 / 配件采购占比,"{""本地原料"": 100, ""配件采购占比"": 25}",启发生成（需人工审核）
0320_1711_06,棉纺纱质量环保合规,质量/环保/生产许可齐备无违规,质量 / 环保 / 生产许可齐备无违规,"{""质量"": 100, ""环保"": 62, ""生产许可齐备无违规"": 25}",启发生成（需人工审核）
0320_1712_03,棉织造产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0320_1712_04,棉织造原材料本地化率,本地原料/配件采购占比,本地原料 / 配件采购占比,"{""本地原料"": 100, ""配件采购占比"": 25}",启发生成（需人工审核）
0320_1712_06,棉织造质量环保合规,质量/环保/生产许可齐备无违规,质量 / 环保 / 生产许可齐备无违规,"{""质量"": 100, ""环保"": 62, ""生产许可齐备无违规"": 25}",启发生成（需人工审核）
0320_1731_03,麻纤维纺前加工和纺纱产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0320_1731_04,麻纤维纺前加工和纺纱原材料本地化率,本地原料/配件采购占比,本地原料 / 配件采购占比,"{""本地原料"": 100, ""配件采购占比"": 25}",启发生成（需人工审核）
0320_1731_06,麻纤维纺前加工和纺纱质量环保合规,质量/环保/生产许可齐备无违规,质量 / 环保 / 生产许可齐备无违规,"{""质量"": 100, ""环保"": 62, ""生产许可齐备无违规"": 25}",启发生成（需人工审核）
0320_1732_03,麻织造产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0320_1732_04,麻织造原材料本地化率,本地原料/配件采购占比,本地原料 / 配件采购占比,"{""本地原料"": 100, ""配件采购占比"": 25}",启发生成（需人工审核）
0320_1732_06,麻织造质量环保合规,质量/环保/生产许可齐备无违规,质量 / 环保 / 生产许可齐备无违规,"{""质量"": 100, ""环保"": 62, ""生产许可齐备无违规"": 25}",启发生成（需人工审核）
0331_1910_03,皮革鞣制产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0331_1910_04,皮革鞣制原材料本地化率,本地原料/配件采购占比,本地原料 / 配件采购占比,"{""本地原料"": 100, ""配件采购占比"": 25}",启发生成（需人工审核）
0331_1910_06,皮革鞣制质量环保合规,质量/环保/生产许可齐备无违规,质量 / 环保 / 生产许可齐备无违规,"{""质量"": 100, ""环保"": 62, ""生产许可齐备无违规"": 25}",启发生成（需人工审核）
0332_01,皮革制品年产量,皮服装/箱包等年产量,皮服装 / 箱包等年产量,"{""皮服装"": 100, ""箱包等年产量"": 25}",启发生成（需人工审核）
0332_1921_03,皮革服装产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0332_1921_04,皮革服装原材料本地化率,本地原料/配件采购占比,本地原料 / 配件采购占比,"{""本地原料"": 100, ""配件采购占比"": 25}",启发生成（需人工审核）
0332_1921_06,皮革服装质量环保合规,质量/环保/生产许可齐备无违规,质量 / 环保 / 生产许可齐备无违规,"{""质量"": 100, ""环保"": 62, ""生产许可齐备无违规"": 25}",启发生成（需人工审核）
0332_1922_03,皮箱、包（袋）产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0332_1922_04,皮箱、包（袋）原材料本地化率,本地原料/配件采购占比,本地原料 / 配件采购占比,"{""本地原料"": 100, ""配件采购占比"": 25}",启发生成（需人工审核）
0332_1922_06,皮箱、包（袋）质量环保合规,质量/环保/生产许可齐备无违规,质量 / 环保 / 生产许可齐备无违规,"{""质量"": 100, ""环保"": 62, ""生产许可齐备无违规"": 25}",启发生成（需人工审核）
0332_1923_03,皮手套及皮装饰制品产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0332_1923_04,皮手套及皮装饰制品原材料本地化率,本地原料/配件采购占比,本地原料 / 配件采购占比,"{""本地原料"": 100, ""配件采购占比"": 25}",启发生成（需人工审核）
0332_1923_06,皮手套及皮装饰制品质量环保合规,质量/环保/生产许可齐备无违规,质量 / 环保 / 生产许可齐备无违规,"{""质量"": 100, ""环保"": 62, ""生产许可齐备无违规"": 25}",启发生成（需人工审核）
0332_1929_03,其他皮革制品产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0332_1929_04,其他皮革制品原材料本地化率,本地原料/配件采购占比,本地原料 / 配件采购占比,"{""本地原料"": 100, ""配件采购占比"": 25}",启发生成（需人工审核）
0332_1929_06,其他皮革制品质量环保合规,质量/环保/生产许可齐备无违规,质量 / 环保 / 生产许可齐备无违规,"{""质量"": 100, ""环保"": 62, ""生产许可齐备无违规"": 25}",启发生成（需人工审核）
0332_1952_03,皮鞋产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0332_1952_04,皮鞋原材料本地化率,本地原料/配件采购占比,本地原料 / 配件采购占比,"{""本地原料"": 100, ""配件采购占比"": 25}",启发生成（需人工审核）
0332_1952_06,皮鞋质量环保合规,质量/环保/生产许可齐备无违规,质量 / 环保 / 生产许可齐备无违规,"{""质量"": 100, ""环保"": 62, ""生产许可齐备无违规"": 25}",启发生成（需人工审核）
0333_02,毛皮制品年产量,毛皮服装/制品年产量,毛皮服装 / 制品年产量,"{""毛皮服装"": 100, ""制品年产量"": 25}",启发生成（需人工审核）
0333_1931_03,毛皮鞣制产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0333_1931_04,毛皮鞣制原材料本地化率,本地原料/配件采购占比,本地原料 / 配件采购占比,"{""本地原料"": 100, ""配件采购占比"": 25}",启发生成（需人工审核）
0333_1931_06,毛皮鞣制质量环保合规,质量/环保/生产许可齐备无违规,质量 / 环保 / 生产许可齐备无违规,"{""质量"": 100, ""环保"": 62, ""生产许可齐备无违规"": 25}",启发生成（需人工审核）
0333_1932_03,毛皮服装产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0333_1932_04,毛皮服装原材料本地化率,本地原料/配件采购占比,本地原料 / 配件采购占比,"{""本地原料"": 100, ""配件采购占比"": 25}",启发生成（需人工审核）
0333_1932_06,毛皮服装质量环保合规,质量/环保/生产许可齐备无违规,质量 / 环保 / 生产许可齐备无违规,"{""质量"": 100, ""环保"": 62, ""生产许可齐备无违规"": 25}",启发生成（需人工审核）
0333_1939_03,其他毛皮制品产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0333_1939_04,其他毛皮制品原材料本地化率,本地原料/配件采购占比,本地原料 / 配件采购占比,"{""本地原料"": 100, ""配件采购占比"": 25}",启发生成（需人工审核）
0333_1939_06,其他毛皮制品质量环保合规,质量/环保/生产许可齐备无违规,质量 / 环保 / 生产许可齐备无违规,"{""质量"": 100, ""环保"": 62, ""生产许可齐备无违规"": 25}",启发生成（需人工审核）
0334_02,羽绒品质达标率,蓬松度/清洁度达标,蓬松度 / 清洁度达标,"{""蓬松度"": 100, ""清洁度达标"": 25}",启发生成（需人工审核）
0334_1941_03,羽毛（绒）产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0334_1941_04,羽毛（绒）原材料本地化率,本地原料/配件采购占比,本地原料 / 配件采购占比,"{""本地原料"": 100, ""配件采购占比"": 25}",启发生成（需人工审核）
0334_1941_06,羽毛（绒）质量环保合规,质量/环保/生产许可齐备无违规,质量 / 环保 / 生产许可齐备无违规,"{""质量"": 100, ""环保"": 62, ""生产许可齐备无违规"": 25}",启发生成（需人工审核）
0334_1942_03,羽毛（绒）制品产能利用率,实际产量/设计产能,实际产量 / 设计产能,"{""实际产量"": 100, ""设计产能"": 25}",启发生成（需人工审核）
0334_1942_04,羽毛（绒）制品原材料本地化率,本地原料/配件采购占比,本地原料 / 配件采购占比,"{""本地原料"": 100, ""配件采购占比"": 25}",启发生成（需人工审核）
